"unitid","institution name","year","IC2011.Religious affiliation","DRVHR2011.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVIC2011.Percent admitted - total","DRVIC2011.Admissions yield - total","IC2011.SAT Critical Reading 25th percentile score","IC2011.SAT Critical Reading 75th percentile score","IC2011.SAT Math 25th percentile score","IC2011.SAT Math 75th percentile score","IC2011.ACT Composite 25th percentile score","IC2011.ACT Composite 75th percentile score","DRVGR2011.Graduation rate - bachelor's degree within 6 years, total","F1011_F2.Total expenses","F1011_F2.Instruction-Total amount","F1011_F2.Value of endowment assets at the end of the fiscal year"
"189088","Bard College","2011","Not applicable","93075","35","25",,,,,,,"76","138165615","60921303","231190115"
"189097","Barnard College","2011","Not applicable","101477","25","48","630","730","618","710","28","32","92","125626000","49881771","215500000"
"189848","Cazenovia College","2011","Not applicable","58044","70","17",,,,,,,"49","23484127","9180913","27672481"
"190099","Colgate University","2011","Not applicable","93725","29","33","620","720","640","720","30","32","92","153192207","56948324","700993881"
"190248","Concordia College-New York","2011","Lutheran Church - Missouri Synod","53005","70","22","410","490","410","500","15","20","49","18519392","6063207","8346648"
"190372","Cooper Union for the Advancement of Science and Art","2011","Not applicable","97681","8","75","610","720","650","780","29","33","76","70300986","24652403","609056401"
"190646","CUNY Medgar Evers College","2011","Not applicable","86085","93","19",,,,,,,"39",,,
"190655","CUNY New York City College of Technology","2011","Not applicable","79110","77","25","390","480","438","540",,,"24",,,
"190691","CUNY York College","2011","Not applicable","81508","40","23","400","475","420","510",,,"20",,,
"190983","Elmira College","2011","Not applicable","50206","75","19","490","600","480","590","24","27","60","44286728","12229398","38405848"
"191205","Five Towns College","2011","Not applicable","45327","61","60","400","510","380","500","17","21","31",,,
"191515","Hamilton College","2011","Not applicable","96296","27","33","650","740","660","730","28","32","89","117809000","49825000","721287000"
"191533","Hartwick College","2011","Not applicable","69457","77","13","510","610","510","610","23","27","54","45937175","17312057","61161606"
"191621","Hilbert College","2011","Roman Catholic","55130","69","29",,,,,,,"40","17876661","5000458","3420487"
"191630","Hobart William Smith Colleges","2011","Not applicable","81696","60","26",,,,,,,"75","90072926","28775650","182833093"
"191676","Houghton College","2011","Wesleyan","50669","72","34","530","630","500","630","22","27","68","34415019","13095975","40170853"
"192864","Marymount Manhattan College","2011","Not applicable","69594","79","15","480","590","470","560","21","26","40","47559661","16942045","16485709"
"194392","Paul Smiths College of Arts and Science","2011","Not applicable","46846","79","39","410","530","420","540","18","24","37","23609776","6839182","18556660"
"195173","St Francis College","2011","Not applicable","76279","70","32","420","520","420","510",,,"50","40074008","14991157","67364020"
"195216","St Lawrence University","2011","Not applicable","77825","43","35",,,,,,,"80","104260442","38780732","239822000"
"195304","Sarah Lawrence College","2011","Not applicable","85132","62","28",,,,,,,"70","70083250","31217197","74591964"
"195474","Siena College","2011","Roman Catholic","80668","48","17","510","610","530","630","22","26","74","97062101","28828211","131901494"
"195526","Skidmore College","2011","Not applicable","77289","42","27","570","680","580","670","26","30","84","130959000","49317000","301363000"
"196042","Farmingdale State College","2011","Not applicable","81226","41","42","450","520","480","570",,,"40",,,
"196219","SUNY at Purchase College","2011","Not applicable","73350","34","26","500","620","480","580","21","26","56",,,
"196866","Union College","2011","Not applicable","88048","43","26",,,,,,,"86","110424925","39982204","327800000"
"197027","United States Merchant Marine Academy","2011","Not applicable","101050",,,,,,,,,"80",,,
"197036","United States Military Academy","2011","Not applicable","80499","11","84","560","680","590","690","25","31","83",,,
"197133","Vassar College","2011","Not applicable","94331","23","37","670","740","650","730","30","33","91","165608603","69529300","814130058"
"197230","Wells College","2011","Not applicable","61784","63","11","470","600","460","570","20","27","59","27216449","4692893","22274910"
"197911","Barton College","2011","Christian Church (Disciples of Christ)","50262","52","17","390","540","430","460","18","21","47","21537810","7240336","23060016"
"197984","Belmont Abbey College","2011","Roman Catholic","43010","64","22","440","570","440","550","19","26","38","26456625","6996885","8365676"
"197993","Bennett College","2011","United Methodist","45886","63","18",,,,,,,"39","20081758","6608161","12280904"
"198066","Brevard College","2011","United Methodist","44467","56","25","440","520","410","520","18","22","35","16023510","5377905","19985279"
"198215","Catawba College","2011","Not applicable","56539","42","30","390","530","410","540",,,"54","41417149","10133202","40480810"
"198303","Chowan University","2011","Southern Baptist","51400","60","24","360","440","360","440","14","18","30","18632649","5249406","23628732"
"198385","Davidson College","2011","Presbyterian Church (USA)","92062","25","40","630","730","640","718","29","33","92","95304819","30343005","513150987"
"198598","Greensboro College","2011","United Methodist","49673","51","23","430","540","400","490","17","23","40","21156346","7965460","21399043"
"198613","Guilford College","2011","Friends","57171","64","19","470","620","480","590","21","26","60","58089277","16763128","71839688"
"198695","High Point University","2011","United Methodist","57443","62","29","490","590","510","600","21","26","61","95415532","32166530","37717174"
"198756","Johnson C Smith University","2011","Not applicable","54931","29","24","370","480","380","480","15","19","37","41134920","10861836","50425092"
"198808","Lees-McRae College","2011","Presbyterian Church (USA)","40653","64","19","353","598","375","580","19","26","24","15684811","3591386","19641806"
"198862","Livingstone College","2011","African Methodist Episcopal Zion Church","48341","54","23","330","400","335","420","13","18","28","25181754","5005683","1534413"
"198899","Mars Hill University","2011","Not applicable","48962","68","24","410","520","420","530","17","22","38","26413747","7075436","39181616"
"198950","Meredith College","2011","Not applicable","62104","61","41","450","560","460","563","18","24","59","50340966","19026681","80431175"
"199069","University of Mount Olive","2011","Original Free Will Baptist","56216","62","29","400","490","430","520","17","21","45","35215579","9814223","25743842"
"199111","University of North Carolina at Asheville","2011","Not applicable","67812","77","32","540","650","520","620","22","27","61",,,
"199209","North Carolina Wesleyan College","2011","United Methodist","46204","63","21","380","480","400","510","15","21","22","20960570","6207819","9861173"
"199272","William Peace University","2011","Presbyterian Church (USA)","52573","53","26","420","510","420","520","18","23","36","18526877","5733001","43688029"
"199582","Saint Augustine's University","2011","Protestant Episcopal","45974","60","24","340","450","330","420",,,"23","35897884","8719718","17717052"
"199607","Salem College","2011","Moravian Church","52569","60","47","460","600","450","580","19","27","53","21205634","7462691","51059304"
"199643","Shaw University","2011","Baptist","46979","48","23",,,,,,,"27","51876021","15342051","8744594"
"199698","St. Andrews University","2011","Presbyterian Church (USA)","41691",,,,,,,,,"43","13707757","4379974","15444458"
"199865","Warren Wilson College","2011","Presbyterian Church (USA)","48281","93","25","540","660","490","590","22","28","45","30398464","10161913","51854744"
"200059","Dickinson State University","2011","Not applicable","53963","66","59","380","610","480","530","16","27","26",,,
"200156","University of Jamestown","2011","Presbyterian Church (USA)","50905","63","48","430","510","460","560","20","25","43","15847217","6095622","28230022"
"200226","Mayville State University","2011","Not applicable","47689",,,,,,,,,"25",,,
"200572","Valley City State University","2011","Not applicable","49120","87","65","450","510","420","540","18","22","42",,,
"201371","Bluffton University","2011","Mennonite Church","52726","64","20","440","550","460","550","19","24","59","22592198","8982389","19518286"
"201654","Cedarville University","2011","Baptist","59229","75","36","540","650","530","640","24","29","68","75012929","32186244","20280073"
"201690","Central State University","2011","Not applicable","57366","32","28","350","420","340","430","14","17","24",,,
"201964","Ohio Christian University","2011","Other Protestant","31654","63","43","420","570","390","610","17","23","53","15653860","8470045","2534319"
"202514","Defiance College","2011","United Church of Christ","50216","67","24","400","520","430","530","18","23","51","17805946","6175831","12591128"
"202523","Denison University","2011","Not applicable","72923","48","26","600","690","590","670","27","30","79","107309164","39550789","671523296"
"203128","Hiram College","2011","Not applicable","54768","63","22","450","600","450","600","19","25","66","34166965","11111763","62665442"
"203535","Kenyon College","2011","Not applicable","79022","33","33","640","740","610","690","28","32","87","88257335","31059004","179922748"
"203845","Marietta College","2011","Not applicable","57343","70","13","460","590","480","610","21","26","51","43530906","18690804","61019092"
"204185","University of Mount Union","2011","United Methodist","68087","73","33","450","540","460","570","20","25","65","49682426","18377045","133190000"
"204501","Oberlin College","2011","Not applicable","85758","30","35","650","740","630","720","28","32","88","153533776","71727264","738357067"
"204635","Ohio Northern University","2011","United Methodist","73468","82","27","520","620","550","660","24","29","65","97284425","49357359","145373454"
"204671","Ohio State University-Lima Campus","2011","Not applicable","71102",,,,,,,,,"45",,,
"204909","Ohio Wesleyan University","2011","United Methodist","65538","70","16","520","650","510","650","22","29","61","66904321","24191251","186719779"
"205443","Shawnee State University","2011","Not applicable","57579",,,,,,,,,"22",,,
"206330","Urbana University","2011","Not applicable","44988",,,,,,,,,"31","16353904","6179340","3423803"
"206491","Wilberforce University","2011","African Methodist Episcopal","42039","92","13",,,,,,,"30","14564263","5064505","10439843"
"206507","Wilmington College","2011","Friends","52645","90","20","430","530","410","540","18","23","51","23572174","9196606","29795447"
"206525","Wittenberg University","2011","Lutheran Church in America","65334","73","22","510","630","510","610","22","28","71","60014421","23299933","96082820"
"206589","The College of Wooster","2011","Not applicable","69099","61","19","550","670","550","660","24","30","75","77159462","24981207","246688529"
"206613","Wright State University-Lake Campus","2011","Not applicable","75562",,,,,,,,,"30",,,
"207351","Oklahoma Panhandle State University","2011","Not applicable","39856","89","62","340","450","370","500","16","20","30",,,
"207403","Oklahoma Baptist University","2011","Baptist","50773","66","15","480","590","490","600","21","27","51","33109393","10657726","95122665"
"207661","Rogers State University","2011","Not applicable","53046","54","85",,,,,"18","23","23",,,
"207689","St. Gregory's University","2011","Roman Catholic","38712","57","35",,,,,,,"29","10991203","2037767","9912891"
"207722","University of Science and Arts of Oklahoma","2011","Not applicable","49800","27","88",,,,,"20","26","39",,,
"207856","Southwestern Christian University","2011","Pentecostal Holiness Church","37560","70","76","410","510","430","530","17","23","28","4651995","1477562","818002"
"209056","Lewis & Clark College","2011","Not applicable","80642","66","15","610","710","580","670","27","30","73","112734501","48960829","204141206"
"209065","Linfield College-McMinnville Campus","2011","American Baptist","66713","76","25","490","610","510","610","22","28","73","60752759","27381107","81345732"
"209506","Oregon Institute of Technology","2011","Not applicable","58623","64","47","440","560","450","580",,,"42",,,
"209922","Reed College","2011","Not applicable","87837","40","31","670","750","630","720","29","33","80","72931006","25535650","395644754"
"210304","Warner Pacific College","2011","Church of God","56729","61","15","430","550","450","540","16","22","46","16221393","5438222","7508598"
"210401","Willamette University","2011","Not applicable","82083","41","19","560","670","540","650","27","31","77","90868000","38066000","231777091"
"210492","Bryn Athyn College of the New Church","2011","Other (none of the above)","73603","44","22","450","600","420","610","17","30","30",,"3506509","68415000"
"210571","Albright College","2011","United Methodist","64191","48","16","480","570","480","580","19","25","60","50640091","21483139","53310925"
"210669","Allegheny College","2011","United Methodist","72538","58","20","530","660","540","640","23","29","80","73198142","24558520","153504500"
"210906","The Art Institutes of York-PA","2011","Not applicable","42318","62","68",,,,,,,,,,
"211273","Bryn Mawr College","2011","Not applicable","84156","46","33","600","710","600","720","26","31","87","106339000","46277000","677307000"
"211291","Bucknell University","2011","Not applicable","84773","28","42","590","680","630","720","27","31","91","172852000","63981000",
"211468","Cedar Crest College","2011","Not applicable","62462","62","20","460","560","440","540","20","23","50","30734048","12565945","19792792"
"211477","Central Penn College","2011","Not applicable","46526","43","16",,,,,,,"51",,,
"211608","Cheyney University of Pennsylvania","2011","Not applicable","79283",,,,,,,,,"24",,,
"212009","Dickinson College","2011","Not applicable","73604","42","26","600","690","590","680","27","30","84","108275418","40117997","326551024"
"212197","Elizabethtown College","2011","Church of Brethren","69019","66","22","500","610","520","620","21","27","79","61893889","25906401","56478287"
"212577","Franklin and Marshall College","2011","Not applicable","81502","45","29",,,,,,,"85","110318851","44804486","303321000"
"212674","Gettysburg College","2011","Evangelical Lutheran Church","76908","40","32","610","690","610","690","27","29","85","110686483","38921317","245889239"
"212805","Grove City College","2011","Presbyterian Church (USA)",,"76","51","559","692","560","677","25","30","82","61181617","24328884","92488719"
"212911","Haverford College","2011","Not applicable","87414","25","39","650","750","650","750","30","33","92","83123793","33060067","402729751"
"213251","Juniata College","2011","Not applicable","71218","71","24","530","630","540","650","23","28","76","49677891","14378321","78968798"
"213303","Keystone College","2011","Not applicable","55508","91","41","400","490","390","490","15","20","39","26029085","10467968","7122562"
"213358","La Roche College","2011","Roman Catholic","55443","46","38","420","520","410","510","17","21","51","23919734","7086929","4383695"
"213385","Lafayette College","2011","Presbyterian Church (USA)","94312","40","28","590","680","620","700","26","31","88","132749364","48958378","658146309"
"213668","Lycoming College","2011","United Methodist","61246","70","32","470","590","480","580","20","26","70","32323314","11216442","152275000"
"213996","Messiah College","2011","Interdenominational","65985","64","34","520","630","520","640","22","29","74","83879667","30687192","126435373"
"214157","Moravian College","2011","Moravian Church","66322","80","24",,,,,,,"76","50257422","20312984","91490398"
"214175","Muhlenberg College","2011","Evangelical Lutheran Church","73991","43","28","560","670","560","680","25","31","86","85264369","38006777","150240718"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2011","Not applicable","72975","84","38","460","560","480","590","20","26","66",,,
"214625","Pennsylvania State University-Penn State New Kensington","2011","Not applicable","70586","85","46","410","540","420","560","17","27","40",,,
"214634","Pennsylvania State University-Penn State Shenango","2011","Not applicable","61236","73","58","380","480","380","500","16","22","44",,,
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2011","Not applicable","65725","92","37","420","520","420","550","16","23","47",,,
"214652","Pennsylvania State University-Penn State Worthington Scranton","2011","Not applicable","68206","88","50","410","520","410","530","20","22","46",,,
"214670","Pennsylvania State University-Penn State Lehigh Valley","2011","Not applicable","63741","87","36","430","550","430","570","19","25","47",,,
"214689","Pennsylvania State University-Penn State Altoona","2011","Not applicable","61563","77","32","440","530","460","570","20","24","65",,,
"214698","Pennsylvania State University-Penn State Beaver","2011","Not applicable","63810","92","39","400","530","430","560","17","25","47",,,
"214704","Pennsylvania State University-Penn State Berks","2011","Not applicable","65205","82","38","420","530","440","560","17","23","55",,,
"214731","Pennsylvania State University-Penn State Brandywine","2011","Not applicable","68837","81","36","420","530","440","560","18","21","37",,,
"214786","Pennsylvania State University-Penn State Greater Allegheny","2011","Not applicable","65936","83","40","370","490","370","510","13","22","47",,,
"214801","Pennsylvania State University-Penn State Abington","2011","Not applicable","63787","79","30","400","520","410","540","19","23","44",,,
"214810","Pennsylvania State University-Penn State Schuylkill","2011","Not applicable","62809","84","51","390","490","380","500","14","22","47",,,
"214829","Pennsylvania State University-Penn State York","2011","Not applicable","65236","84","30","420","530","440","570","19","22","45",,,
"214883","Peirce College","2011","Not applicable","60379",,,,,,,,,"27","27445514","7631107","166086"
"215266","University of Pittsburgh-Bradford","2011","Not applicable","61071","83","46","430","550","440","560","18","24","48",,"11127092","198371"
"215275","University of Pittsburgh-Greensburg","2011","Not applicable","56926","85","39","450","550","470","560","18","22","52",,"7839420","3963480"
"215284","University of Pittsburgh-Johnstown","2011","Not applicable","56440","88","52","450","540","460","570","19","23","59",,"15725804","28189323"
"215798","Saint Vincent College","2011","Roman Catholic","62079","67","33","470","580","495","590","20","25","73","49998107","14529170","71348256"
"216278","Susquehanna University","2011","Evangelical Lutheran Church","69222","73","23","510","610","510","610","23","28","77","70712140","25030432","117423088"
"216287","Swarthmore College","2011","Not applicable","105532","15","39","680","770","670","760","30","34","95","121653000","44958000","1508483000"
"216357","Thiel College","2011","Evangelical Lutheran Church","54541","64","23","410","510","430","520","18","22","39","27099938","7273611","24312991"
"216524","Ursinus College","2011","Not applicable","79554","70","16",,,,,,,"80","60576491","22654707","127476436"
"216542","University of Valley Forge","2011","Assemblies of God Church","54921","76","64","420","560","420","550","15","22","53","18773028","5539565","1029061"
"216667","Washington & Jefferson College","2011","Not applicable","66614","43","14",,,,,,,"74","52698824","17628157","105449820"
"216807","Westminster College","2011","Presbyterian Church (USA)","58514","61","15","490","590","490","598","22","26","74","37996462","13428342","91212410"
"217013","Wilson College","2011","Presbyterian Church (USA)","56864","52","26","430","570","430","540","19","27","53","19562420","4247530","71439734"
"217624","Allen University","2011","African Methodist Episcopal","48408",,,,,,,,,"0","23203713","6377533",
"217721","Benedict College","2011","Baptist","49188",,,,,,,,,"26","61613793","10838405","20402239"
"217873","Claflin University","2011","United Methodist","55050","35","29","390","490","385","500","16","21","40","44827112","13435355","19302951"
"217907","Coker College","2011","Not applicable","47109","53","33","440","550","450","550","18","24","49","20396118","6659612","24383958"
"217998","Erskine College","2011","Reformed Presbyterian Church","53346","67","39","440","580","460","580","18","25","55","19343118","6692322","43369560"
"218070","Furman","2011","Not applicable","79939","70","21","580","690","570","690","26","31","87","127384578","53275932","572162347"
"218229","Lander University","2011","Not applicable","50031","46","51","410","520","430","540","18","22","37",,,
"218238","Limestone College","2011","Not applicable","43148","51","37","400","480","420","530","15","20","39","32767808","12023522","13038957"
"218399","Morris College","2011","Baptist","47204",,,,,,,,,"33","19296321","7020771","12051968"
"218414","Newberry College","2011","Evangelical Lutheran Church","44419","61","33","430","520","440","530","18","23","35","23144275","4687204","21201593"
"218539","Presbyterian College","2011","Presbyterian Church (USA)","62576","67","36","498","603","510","620","21","27","68","41184574","14847134","79725539"
"218645","University of South Carolina-Aiken","2011","Not applicable","55120","50","46","440","550","450","560","18","23","41",,,
"218654","University of South Carolina-Beaufort","2011","Not applicable","56570","74","41","420","510","420","510","17","22","21",,,
"218742","University of South Carolina-Upstate","2011","Not applicable","55292","59","44","430","520","450","530","18","22","39",,,
"218919","Voorhees College","2011","Protestant Episcopal","41620","51","6",,,,,,,"34","18365804","6077661","5492973"
"218973","Wofford College","2011","United Methodist","69441","65","24","530","650","550","640","24","29","79","53666031","16022000","165107417"
"219000","Augustana University","2011","Evangelical Lutheran Church","56288","80","43",,,,,"23","28","65","41784161","17957697","52786578"
"219091","Dakota Wesleyan University","2011","United Methodist","47299","76","42","340","540","370","620","17","25","43","14302089","3968301","21372735"
"219204","National American University-Rapid City","2011","Not applicable","39516",,,,,,,,,"22",,,
"220181","Fisk University","2011","Not applicable","54270","98","7","410","550","420","530","18","24","45","25310314","5658927","13438891"
"220206","Welch College","2011","Free Will Baptist Church","38119",,,,,,,,,"42","4931193","1414494","1119696"
"220598","Lane College","2011","Christian Methodist Episcopal","44983","33","28",,,,,"14","17","34","31555399","9108292","4291771"
"220604","Le Moyne-Owen College","2011","Multiple Protestant Denomination","39043","40","47",,,,,"14","17","15","15526563","4262610","13027459"
"220701","Martin Methodist College","2011","United Methodist","48818",,,,,,,,,"49","14793862","4508140","12308090"
"220710","Maryville College","2011","Presbyterian Church (USA)","59455","66","22","470","600","480","600","22","27","54","27390541","8656650","59245651"
"221351","Rhodes College","2011","Presbyterian Church (USA)","68077","50","21","590","690","590","680","26","31","75","64808197","27018221","283371967"
"221519","Sewanee-The University of the South","2011","Protestant Episcopal","78336","61","24","580","680","560","650","26","30","86","80767825","26666981","318709539"
"221731","Tennessee Wesleyan University","2011","United Methodist","43865","82","39","400","490","380","490","19","24","44","13868016","4823888","9602949"
"222983","Austin College","2011","Presbyterian Church (USA)","69407","52","21","580","680","570","680","24","29","75","40037560","15405549","124895358"
"224527","East Texas Baptist University","2011","Baptist","52670","57","51","400","510","440","530","18","22","43","21490939","6704232","61950367"
"225548","Howard Payne University","2011","Baptist",,"69","42","430","540","450","560","18","24","46","20878893","7760089","45271849"
"225575","Huston-Tillotson University","2011","Multiple Protestant Denomination","47375","90","29","340","450","370","470","14","20","20","17517435","4640847","8266370"
"225885","Jarvis Christian College","2011","Christian Church (Disciples of Christ)","38826",,,,,,,,,"14","13643496","1882003","8352504"
"226587","McMurry University","2011","United Methodist","51712","61","43","400","510","430","540","17","23","36","25731761","9897453","62911129"
"227429","Paul Quinn College","2011","African Methodist Episcopal","41070","43","67","420","440","430","470","18","20","5","7712057","909418","5061187"
"228042","Schreiner University","2011","Presbyterian Church (USA)","51413","61","41","440","560","460","570","19","24","39","24117663","6942391","53929211"
"228343","Southwestern University","2011","United Methodist","67964","65","20","560","680","560","650","25","31","73","59487482","20504229","268982899"
"228468","Southwestern Adventist University","2011","Seventh Day Adventists","42303",,,,,,,,,"38","16782251","6234805","7010965"
"228884","Texas College","2011","Christian Methodist Episcopal","34650",,,,,,,,,"6","12381499","2502134","1593210"
"228981","Texas Lutheran University","2011","American Evangelical Lutheran Church","58457","65","40","440","550","470","580","19","24","49","30579836","7819152","81293492"
"229887","Wiley College","2011","United Methodist","45136",,,,,,,,,"18","20496375","8789234","6032689"
"230047","Brigham Young University-Hawaii","2011","Latter Day Saints (Mormon Church)","82409","29","76","468","580","498","583","22","26","51","83784000","37185000","87250000"
"230630","Stevens-Henager College","2011","Not applicable","39537",,,,,,,,,"5",,,
"230816","Bennington College","2011","Not applicable","73817","72","26",,,,,,,"67","29994171","12701555","15134813"
"230834","Castleton University","2011","Not applicable","56746","86","28","430","530","440","530","18","22","47",,,
"230931","Lyndon State College","2011","Not applicable","55737","99","36","400","520","410","530","17","22","31",,,
"230940","Marlboro College","2011","Not applicable","56112","87","33",,,,,,,"66","13989964","4917572","35860096"
"230959","Middlebury College","2011","Not applicable","95073","17","42","640","740","650","740","30","33","90","223404000","70952019","907668000"
"231059","Saint Michael's College","2011","Roman Catholic","76565","78","16","530","630","530","610","23","27","82","73253947","24064740","70899470"
"231077","College of St Joseph","2011","Roman Catholic","39583","69","44","420","450","400","440","16","21","45","5219804","1657612","4471156"
"231086","Southern Vermont College","2011","Not applicable","47736","78","46","460","490","400","500","16","20","19","10533485","2106055","1510910"
"231095","Sterling College","2011","Not applicable","30140","89","45",,,,,,,"50","4779531","1447957","876051"
"231420","Averett University","2011","Not applicable","57395","54","20","410","520","420","530","17","23","41","22645214","8525185","24703627"
"231554","Bluefield College","2011","Baptist","46588","49","26","400","510","410","493","16","21","36","11416241","3279047","5346232"
"231581","Bridgewater College","2011","Church of Brethren","55687","52","14","450","570","470","560","20","24","59","38043539","10907534","63569283"
"232025","Emory & Henry College","2011","United Methodist","56009","71","29","440","558","433","560","21","26","59","25519700","8777327","83775727"
"232089","Ferrum College","2011","United Methodist","50655","78","26","390","490","390","490","16","21","31","31006258","7616439","41628148"
"232256","Hampden-Sydney College","2011","Not applicable","68374","55","24","490","600","510","610","21","27","67","44035804","12935857","131303703"
"232308","Hollins University","2011","Not applicable","62609","83","27","470","620","450","580","21","28","63","32867810","13875878","152717925"
"233295","Randolph-Macon College","2011","United Methodist","65121","56","17","500","600","490","590","22","27","60","41689828","11650584","122388469"
"233301","Randolph College","2011","United Methodist","64913","71","25","490","620","480","620","20","26","63","26796542","9205065","149230000"
"233374","University of Richmond","2011","Not applicable","93793","33","25","580","690","610","700","28","31","83","228836000","68109000","1878169000"
"233426","Roanoke College","2011","Evangelical Lutheran Church","62193","70","18","500","590","490","590","21","26","69","58255282","23111183","122373030"
"233611","Southern Virginia University","2011","Not applicable",,"99","68","460","580","460","570","20","26","25","13039403","3837351","574049"
"233718","Sweet Briar College","2011","Not applicable","62021","82","37","480","610","433","580","22","27","70","38338544","15487663","93811192"
"233897","The University of Virginia's College at Wise","2011","Not applicable","58183","77","41","420","540","420","530","17","22","39",,,
"234085","Virginia Military Institute","2011","Not applicable","73900","46","49","510","620","530","610","22","27","69",,,
"234164","Virginia Union University","2011","Baptist","48468","75","8",,,"350","430","13","17","29","32117073","10859904","29181091"
"234173","Virginia Wesleyan University","2011","United Methodist","64583","86","16","440","540","430","540","19","23","48","34543317","11642975","53284901"
"234207","Washington and Lee University","2011","Not applicable","98838","18","42","650","740","660","740","29","32","91","125705000","59240000","1218132000"
"236328","University of Puget Sound","2011","Not applicable","79866","52","18","570","680","560","660","26","30","73","103073000","44212000","251291000"
"237057","Whitman College","2011","Not applicable","71616","53","24","630","730","620","710","29","32","86","67187689","23372422","395609000"
"237118","Alderson Broaddus University","2011","American Baptist","43773","70","24","470","560","460","580","19","24","49","14971930","5805685","18149485"
"237181","Bethany College","2011","Christian Church (Disciples of Christ)","47645","58","25","390","520","380","510","17","24","48","23013743","5048732","43954173"
"237215","Bluefield State College","2011","Not applicable","56262","69","79","430","540","413","540","17","22","22",,,
"237358","Davis & Elkins College","2011","Presbyterian Church (USA)","48586","53","22","410","510","420","530","17","22","36","17839605","5482492","27230431"
"237385","Glenville State College","2011","Not applicable","51028","82","35","350","440","350","440","16","21","31",,,
"237640","Ohio Valley University","2011","Churches of Christ","42681","46","37","430","590","430","540","18","24","43","9237435","2865275","1285989"
"237792","Shepherd University","2011","Not applicable","61620","88","43","460","560","450","550","19","24","46",,,
"237899","West Virginia State University","2011","Not applicable","53812","100","32","360","480","395","470","17","22","25",,,
"237932","West Liberty University","2011","Not applicable","55211","75","41","420","530","410","510","18","23","46",,,
"237950","West Virginia University Institute of Technology","2011","Not applicable","59761","52","63","400","520","410","570","18","23","29",,,
"238333","Beloit College","2011","Not applicable","59975","71","21","560","690","550","650","25","30","76","45715706","19177369","113707400"
"238476","Carthage College","2011","Evangelical Lutheran Church","64644","69","14",,,,,"22","27","59","58524616","21536275","51870347"
"239017","Lawrence University","2011","Not applicable","64667","53","23",,,,,,,"77","56251256","23337677","214650801"
"239071","Maranatha Baptist University","2011","Baptist","38193","75","67","450","570","410","530","19","24","51","15088178","3797992","226656"
"239512","Northland College","2011","United Church of Christ","49383","73","31","435","578","423","568","20","27","48","18075778","5227005","19529631"
"239628","Ripon College","2011","Not applicable","55132","75","27","500","650","490","580","22","27","70","27540003","11578460","62343362"
"239716","Saint Norbert College","2011","Roman Catholic","56867","80","31",,,,,"22","27","70","56907692","17568136","73201959"
"240338","Wisconsin Lutheran College","2011","Wisconsin Evangelical Lutheran Synod","51516","65","50","400","520","430","570","21","27","63","26250143","8493286","19891887"
"240374","University of Wisconsin-Parkside","2011","Not applicable","55938","83","53",,,,,"18","23","28",,,
"240426","University of Wisconsin-Superior","2011","Not applicable","55179","89","44",,,,,"20","24","44",,,
"241128","American University of Puerto Rico","2011","Not applicable","24791",,,,,,,,,"24",,,
"241191","Universidad Adventista de las Antillas","2011","Seventh Day Adventists","29782","83","54",,,,,,,"36","9943881","3663320","134104"
"241386","Caribbean University-Carolina","2011","Not applicable","22091",,,,,,,,,"29","1579672","407574","16496"
"241720","Colegio Universitario de San Juan","2011","Not applicable","30944","99","100",,,,,,,"17",,,
"242644","Inter American University of Puerto Rico-Barranquitas","2011","Not applicable","39273","85","89",,,,,,,"35",,"6953101",
"242680","Inter American University of Puerto Rico-Fajardo","2011","Not applicable","40722","48","95",,,,,,,"23",,"5383478",
"242699","Inter American University of Puerto Rico-Guayama","2011","Not applicable","47117","78","82",,,,,,,"24",,"5377226",
"242705","Inter American University of Puerto Rico-Bayamon","2011","Not applicable","42419","39","92",,,,,,,"24",,"14857410",
"243106","University of Puerto Rico-Aguadilla","2011","Not applicable","56766","54","90","453","560","470","521",,,"29",,,
"243115","University of Puerto Rico-Arecibo","2011","Not applicable","53585","44","81",,,,,,,"36",,,
"243133","University of Puerto Rico-Bayamon","2011","Not applicable","53531","25","84",,,,,,,"45",,,
"243142","University of Puerto Rico-Carolina","2011","Not applicable","69779","93","78","471","574","457","607",,,"26",,,
"243151","University of Puerto Rico-Cayey","2011","Not applicable","67796","85","92","506","613","502","628",,,"45",,,
"243179","University of Puerto Rico-Humacao","2011","Not applicable","65806","40","86","496","603","489","606",,,"44",,,
"243212","University of Puerto Rico-Ponce","2011","Not applicable","47931","78","76","474","597","478","596",,,"38",,,
"243586","Pontifical Catholic University of Puerto Rico-Mayaguez","2011","Roman Catholic","32784","38","63",,,,,,,"17",,,
"243832","EDP University of Puerto Rico Inc-San Juan","2011","Not applicable","23642","85","66",,,,,,,"11","11789394","3136465",
"245652","St. John's College","2011","Not applicable","82186","86","45",,,,,,,"53","21927203","8472696",
"245847","Antioch University-Santa Barbara","2011","Not applicable","56380",,,,,,,,,,,,
"262129","New College of Florida","2011","Not applicable","67786","56","33","630","740","570","680","27","31","68",,,
"363916","Caribbean University-Vega Baja","2011","Not applicable","21600",,,,,,,,,"13","1724399","444915","18007"
"384254","Beacon College","2011","Not applicable","48231","58","41",,,,,,,"82","5254253","1215157",
